Section,Town,Mile,Trail
Southern California,Campo/Mexican Border,0.0,Pacific Crest Trail
Southern California,Julian,77.0,Pacific Crest Trail
Southern California,Warner Springs,109.5,Pacific Crest Trail
Southern California,Anza,151.9,Pacific Crest Trail
Southern California,Idyllwild,179.4,Pacific Crest Trail
Southern California,Cabazon,209.5,Pacific Crest Trail
Southern California,Big Bear,266.1,Pacific Crest Trail
Southern California,Cajon Junction,342.0,Pacific Crest Trail
Southern California,Wrightwood,369.4,Pacific Crest Trail
Southern California,Agua Dulce,454.5,Pacific Crest Trail
Southern California,Hikertown,517.6,Pacific Crest Trail
Southern California,Tehachapi,566.4,Pacific Crest Trail
Southern California,Ridgecrest,653.2,Pacific Crest Trail
Southern California,Kennedy Meadows South,703.4,Pacific Crest Trail
Sierra Nevada,Lone Pine,745.7,Pacific Crest Trail
Sierra Nevada,Independence,790.3,Pacific Crest Trail
Sierra Nevada,Bishop,832.2,Pacific Crest Trail
Sierra Nevada,Mammoth Lakes,907.8,Pacific Crest Trail
Sierra Nevada,Tuolumne Meadows,943.7,Pacific Crest Trail
Sierra Nevada,Kennedy Meadows North,1018.1,Pacific Crest Trail
Sierra Nevada,South Lake Tahoe,1093.4,Pacific Crest Trail
Northern California,Truckee,1154.6,Pacific Crest Trail
Northern California,Sierra City,1196.6,Pacific Crest Trail
Northern California,Quincy,1269.1,Pacific Crest Trail
Northern California,Chester,1332.3,Pacific Crest Trail
Northern California,Burney,1412.3,Pacific Crest Trail
Northern California,Dunsmuir,1502.2,Pacific Crest Trail
Northern California,Etna,1600.7,Pacific Crest Trail
Northern California,Seiad Valley,1656.9,Pacific Crest Trail
Northern California,Ashland,1719.7,Pacific Crest Trail
Oregon,Crater Lake/Mazama Village,1822.7,Pacific Crest Trail
Oregon,Shelter Cove Resort,1907.6,Pacific Crest Trail
Oregon,Bend,1984.7,Pacific Crest Trail
Oregon,Timberline Lodge,2099.6,Pacific Crest Trail
Oregon,Cascade Locks/Portland,2155.0,Pacific Crest Trail
Washington,Trout Lake,2231.5,Pacific Crest Trail
Washington,White Pass,2297.5,Pacific Crest Trail
Washington,Snoqualmie Pass,2395.7,Pacific Crest Trail
Washington,Stevens Pass/Leavenworth,2466.7,Pacific Crest Trail
Washington,Stehekin,2574.5,Pacific Crest Trail
Washington,Mazama,2593.8,Pacific Crest Trail
Washington,Monument 78/Canadian Border,2652.6,Pacific Crest Trail
